track_id	source_ext	source_bytes	source_sha256	opus_bitrate_kbps	opus_bytes	opus_sha256	duration_ms	channels
pachelbel-canon-kevin-macleod	ogg	5592927	e69936e8cdb1b3e115e4d6a0501b03b732dcf55619b427e9813336200969afb0	128	6115928	a24db0d0614fb02b21846592b31c9c07ab327176ee1d559142688693508e9385	355638	2
pachelbel-canon-piano-galloway	ogg	3825619	dbde7ed591f33e3dcfc941bce6494ec74b523a955d8c7342224290801e68d195	128	3358748	e5f2a50e051bda48618abbdf06461225180782e9c1f3de3aab9798d33e3dfe6b	171085	2
purcell-abdelazer-suite	ogg	25865093	ca1a2fdf42660ea1c5d1e49e5dc7788dab0966b224e7600a62928903c36d9ca6	128	19488663	97bd3660c63512a6e3136b69c2f436f22b81bead434218e1af07caef6c61a925	1023076	2
rameau-gavotte-doubles	flac	30736119	873d7dd4193c4073ca5a6d28f73b5907c0fece829012e216e3da5d59698877cf	128	5916410	2e1adbc15b0c7b53525ea7f5514b9f9478eca3a23a916b35e29ea93e00e28386	407145	2
ravel-pavane-pd	ogg	3702044	a3cecb1ae5d5d1f95511f9e24e2b39f32811c5c2295cd89c3b8bb90cca52b06b	128	5478185	cfa0a994a4b9ccda3fe033d49d9772203d0dae882c603316828ab09e13c6ce7b	269779	2
respighi-intermezzo-serenata	ogg	1711725	ae5ff974a39fb8954e76873b15a780e016d21b20a793ed3ec6eb1a5c37b21417	128	2613675	b5cb32ba9442055af02f9d6f7c4b38eea9b7b959bcd127a9af2a2881c571663d	145903	2
rhapsody-blue	ogg	25748734	2d5396ee73c9bf337fbd652e558c99c44ad8f36e204df5e8758938a4b8955645	128	18805208	9e15fcd8ae9ce500c815831a82f5904ca5b6e583c9ac6278bf33aba158482d23	953787	2
saint-saens-swan	ogg	1770120	a0237df829170b5c2dcb32b525eca1e325ef86695e3f085cf84aa32c6922ebb7	128	2475136	950acd82dca16ce09e15191d785ab8ce057f60a053cfa770a2bed09e2cc7b850	176217	2
satie-gymnopedie-one-macleod	mp3	7487656	8cba6bb3da51066ad39520ec218a327bb6222d8fb32bc52f28a1e90b67756f70	128	3540502	15475895dac4e4b4c2a5f0bd9e1f30e5cf3ffaee0f44c6a91d684252bd175400	187020	2
scarlatti-k159	ogg	2603735	835cf2229bb6517569d22bd2f594e43b89fd50fd7cb45e44eff12ea8b56023b7	128	2550091	a6ab8514e41f3a65cd3ac3e22b86dbd264acc69972d077ebf573b33e17de3910	141449	2
