track_id	ext	size_bytes	sha256	decodable	duration_ms	codec	sample_rate	channels
bach-goldberg-cc0-01	ogg	2037921	0e252c0312da06d6416d61012a1840612c156ee5e7d1ff5bd95d743da2b7643a	True	121430	vorbis	44100	2
bach-goldberg-cc0-02	ogg	1354178	d4214cdb421d79e452d09a0c50ba95719936b45fbb47343eac5e07f59ca5ddab	True	81180	vorbis	44100	2
bach-goldberg-cc0-03	ogg	2004011	e487ca3dd07838b672ea6ac8f5c99caa7a40a64ba86be5b07938bb297b4af700	True	121430	vorbis	44100	2
bach-goldberg-cc0-04	ogg	1009716	5c793df33ebf3ff5ac610b14571d4b66bd9201903b80b1215acecef563b09401	True	61730	vorbis	44100	2
bach-goldberg-cc0-05	ogg	2054458	76b3f78cb47b4ed8346d1962fd30fbe0df8c4c05a4a377de1411ab2f8e9adc3d	True	121430	vorbis	44100	2
bach-goldberg-cc0-06	ogg	1005822	09ae22d5de17261ccc097c11a3362d50e5bd089cc17aec03a865b1fe6afd2537	True	62040	vorbis	44100	2
bach-goldberg-cc0-07	ogg	2026185	cd7c15eda8a61d1332aa6d47b4a8cd55678a7a2eeb9caa1435ceeb1e0eb36e94	True	121430	vorbis	44100	2
bach-goldberg-cc0-08	ogg	2040160	ffc54a7a1fe7a077369676b3e0dff2eebfdf34761998c3ef10fc16dde312e89d	True	121430	vorbis	44100	2
bach-goldberg-cc0-09	ogg	1404977	ff36ee015b6837e3a0c5cae87e8ed959dd5d476d7e36d0f467e4a4228a9c46e1	True	83700	vorbis	44100	2
bach-goldberg-cc0-10	ogg	1331342	2fc8c1b6dcab04fdb9f8681c5c89a7e3242463ac5023bb7c9e736eb65d2acab4	True	81180	vorbis	44100	2
bach-goldberg-cc0-11	ogg	2058988	831785011df399bc326cbc282aa8ec229ef2772ef946cf9b34d253e0bb5d5fe6	True	120760	vorbis	44100	2
bach-goldberg-cc0-12	ogg	2153755	e025c4bc3e4c8054a5652c42711f2455d712563d2e7f2a0115560910da2e08df	True	128590	vorbis	44100	2
bach-goldberg-cc0-13	ogg	5203507	80f6aea790825e56435320a3a643a1f91be4323cdf5185a27ec4be56fe83c437	True	317620	vorbis	44100	2
bach-goldberg-cc0-14	ogg	2156486	df98cf9c390f289a3e5f225e6a29296f779aa9fc4198f0ea000181e54e3ad8e4	True	128259	vorbis	44100	2
bach-goldberg-cc0-15	ogg	4215843	873bbd7664a86b7d7e1aaf70fd73f3198f14b7a1677759abd30c15906d6d182e	True	253800	vorbis	44100	2
bach-goldberg-cc0-16	ogg	2719564	db66d42cf826198917f3f48477b0ffa231a417e3d7ab67c773db21c3ed526b36	True	165920	vorbis	44100	2
bach-goldberg-cc0-27	ogg	2025833	dad60dd4977dac0a50bfc02f0891aedcb5794d295fbc24064f26934539ca1d6f	True	120760	vorbis	44100	2
bach-goldberg-cc0-28	ogg	2111295	11e016cfd93c878f904fb6a37c325e47aa2dba3e60e459779b14ac3670e3a846	True	124550	vorbis	44100	2
bach-goldberg-cc0-29	ogg	2024788	7e5ac0eef4756709e650c59751f5ac4b264fa1b9361a76007aeaf273020a6658	True	121380	vorbis	44100	2
bach-goldberg-cc0-30	ogg	1383937	50bc5862a51832f4bc64dd6167992bac63d654e96bff190fee424d5472235ed6	True	83340	vorbis	44100	2
bach-goldberg-var8	ogg	3541955	8e988e8bceaffc095b2a7bf6a9deb7ba386319c02668ffe8a284b4bacf5a8456	True	176440	vorbis	44100	2
bach-partita-preludio	ogg	4469198	89bb66c50ad8f0b0f6a66ee528d1b5d5ec7c4430c23479d0b94cd8bfb9fc55fd	True	263000	vorbis	44100	2
bach-passacaglia-bwv582	ogg	6885972	ab7580734858853a3783133b59b676cb60559289dc5b8e336ca18432b3161a6d	True	719180	vorbis	48000	2
bach-sonata-adagio	ogg	3033928	397a1d18100a616dae22580e43fc71bcffe1cb0a0ec8040a631d6921e58df0ac	True	271030	vorbis	48000	2
bach-wtc-prelude	ogg	4237929	609caddf6604b482cdc5739bb7ea385c77156a498f953b241118b14e4fb34883	True	216690	vorbis	44100	2
background-music-one	ogg	668439	efee3b3bfc32463394da6e8a849813a1e54745117d381b144a20e588fbcf0126	True	136430	vorbis	16000	1
beats-disco-lounge	mp3	10220639	931877813688cff3b6bc2219a2a1992800b159a74fbf30365a03208f55eb1fab	True	253150	mp3	44100	2
beats-electro-cabello	mp3	7635233	f304151035c2647de56dbf1995dcc90f3c942c656edfe7516541e7b76e4044ef	True	190820	mp3	44100	2
beats-faster-does-it	mp3	7275665	752ce1d8573254888a370639de303af0ba091fa080b71e1d61a0cdf6efb760d8	True	181840	mp3	44100	2
beats-funkorama	mp3	8199078	6be229815d85a0b99382b944d31098b882702c04ac7ad899e44ab7f8ba89b5ad	True	201460	mp3	44100	2
beats-groove-grove	mp3	8232879	e47b9c1615ad8e759c19109f487f7c484dd0785d3a66499ecd240bc492ee33b5	True	205770	mp3	44100	2
beethoven-32-variations	ogg	12270034	d0c69eda90a3a6c78f60a9ece5fb143f1a8ba56ed784dd999026a16ec25e3701	True	728370	vorbis	44100	2
beethoven-cello-sonata-three-two	ogg	1719546	0ae67f9b8d8bd89d53bd9cd6d4543ce6b15ffae9f624bb68fe0bc89c70c3880a	True	209720	vorbis	44100	1
beethoven-concerto-largo	ogg	10560927	bc956b96570fa0ffb7ce153e89b44a62b7fccb7cfc2689bad651e5987cf2439a	True	593660	vorbis	44100	2
beethoven-diabelli-01-02	ogg	3029219	6f3c00c79f97ee66ccb49b273a0563198855c690ca886befacd03d7cbeea052f	True	165690	vorbis	44100	2
beethoven-diabelli-03-04	ogg	2603228	08bc516badee658cc0c0e55e3ad6e99765b6bdbca1728e7f31eff3444a2725c8	True	141890	vorbis	44100	2
beethoven-diabelli-05-07	ogg	4243379	7fe30b3db3d8c3ea3efa0b8400d9cd9c0516fb2c3843fca8136b63e14aa9ea32	True	228090	vorbis	44100	2
beethoven-diabelli-08-10	ogg	4210897	44c02d4eaaf04df7a1a66cb822f8d0a874d934639192f43dc6155d2bf51fe53f	True	230620	vorbis	44100	2
beethoven-diabelli-11-13	ogg	3212588	e7e8ba4e22f61bfd7013d3b60c2282c82d2021e73526fffaf682bdbb3e4caab4	True	174100	vorbis	44100	2
beethoven-diabelli-14	ogg	4517438	757f9c8c16a2567de8a4bb625cf9f65a076f907e754800e624a5ddbe5e672269	True	248400	vorbis	44100	2
beethoven-diabelli-15-17	ogg	2855607	d8c9e07582eff9becf347509bc674bad7df43c465c6c8906250e695f9eeb841d	True	151300	vorbis	44100	2
beethoven-diabelli-18-19	ogg	2756848	c57c19a3ca8bd418f4466acbedf8cb86d08927f2f3c1ee923c3fe7bdebc1c5e4	True	147600	vorbis	44100	2
beethoven-diabelli-20-23	ogg	6037956	72f8a141948e812d4990a51787e404ae3f19e8bbb429daa58b347c8d5b5d0455	True	336200	vorbis	44100	2
beethoven-diabelli-24	ogg	2850882	a309cb5cc02804ff4e2db38c5587958351b3d64f21757770dabff1d026b6c42a	True	160500	vorbis	44100	2
beethoven-diabelli-25-29	ogg	5450487	37c56cc5c336c9db2a77d0ec97e440c9dae08494fe4ffd6a78fb46c3238c5c1e	True	301900	vorbis	44100	2
beethoven-diabelli-30	ogg	2182665	0c63e9a9098134754dddce48624f911eee7f9151ccf7d680b6fd2bad958ba8a3	True	122200	vorbis	44100	2
beethoven-diabelli-31	ogg	5218075	bfaecdad3e580c9d29e0cab8ba6d3d678c633f2f9412b79ee026fca68cd3b582	True	298300	vorbis	44100	2
beethoven-diabelli-32	ogg	2726475	a2794f44077433569f64e67197d0ed053a5da38905ef36688fbc6865fbf08a9e	True	150600	vorbis	44100	2
beethoven-diabelli-33	ogg	4296622	e5518dc0b00e28f60493ebeaeb28b1df2d82458da6d661d6cf46a60e1c4c4ef5	True	244500	vorbis	44100	2
beethoven-diabelli-theme	ogg	1041744	196f0b2805f0c98ba3e3a058c43ed8d7a19cfa8fb3746a75ae9dcfcf3612377d	True	52910	vorbis	44100	2
beethoven-hammerklavier-adagio	ogg	25905884	6d77c75e8c5c225281e5fc07b1ad53ffc152e3d979a168f553aeab9a7a839451	True	1035099	vorbis	44100	2
beethoven-minuet	ogg	945117	8147dc55f9ac85bb742cc56f1a27ead6f6fe637eaf09c5d1d591f3b3ac45b8eb	True	143520	vorbis	22050	1
beethoven-nine-four	ogg	15691685	1af72034c2b5e1c8334023c0c24eebcc33c413ed14dc68c07d33490f7d0b744c	True	1407880	vorbis	44100	2
beethoven-nine-one	flac	72708686	a7d096863b272030e2f661402522121014747901326f8fd02d877f85d030a042	True	917000	flac	44100	2
beethoven-nine-three	flac	57455451	6abbcc66bcecbea9734f2f9e6305f84bb946bb1caf0334c3eb778e141035988e	True	898920	flac	44100	2
beethoven-nine-two	flac	50719279	90fbafc75c7238b456dce7bc66f6b3770246e86c7611ce69823c5d16bda763bd	True	685400	flac	44100	2
beethoven-quartet-six-adagio	flac	63109280	8b29c98e88aa54e518916dc8fed2ae2855a93c360b9818a34cecd4eb6300de12	True	421810	flac	48000	2
beethoven-quartet-six-malinconia	flac	74340097	2a30c535faf6df53eb2c9b427dd52dd4a8025351c847fb05a37c94a2af9b253e	True	492530	flac	48000	2
beethoven-sonata-28-one	ogg	4541660	f367c236b4e1bbbf1b93d2bb2697306a8dabd4aafc47589e70a5c69fd65fbf52	True	285520	vorbis	44100	2
beethoven-sonata-28-three	ogg	3665745	9b76bc6e0609b2e392e37aa93647728b705bb41085fa7913053b555ae0cdb916	True	229930	vorbis	44100	2
borodin-steppes	ogg	4731200	aea18473e0fdab570af658bf1f35bf121eca9a673e609a37753444db9b9ec5ef	True	458240	vorbis	48000	2
brahms-clarinet-quintet-adagio	ogg	17428419	76186bf65ba2908f3ebf93ff9d63fad56b624bf0cd78c7fc5549303311ec7c4e	True	706180	vorbis	44100	2
brahms-op116-four	ogg	3844958	9447aa17d48e203cc38501573ceafd71423f986fd3d8b74819a1b985a3a7eb5a	True	280080	vorbis	44100	2
brahms-op117-two	ogg	6056306	b702474800cf9cf6b76240c0ee43d4bcc436cfe69b7a9096b4a7ccde4155173d	True	349920	vorbis	44100	2
brahms-op118-two	ogg	6368628	b311f998b21df77cc9c88c3c422737014c84eb5c92c69ae0a7cf624189f4c60f	True	328050	vorbis	44100	2
calm-bgm	ogg	1252124	864a9445c6043d9adb7676c77dcb1069fa9ce53486d9fd6f808dfb37f1d5a147	True	78980	vorbis	44100	2
calm-fireplace-guitar	mp3	2474571	746079dea79033b587cd243739402338af02f2495c7f080a7cfad4c0d6cb453a	True	103080	mp3	44100	2
cello-bach-allemande	ogg	9286146	c0420fdf4426607035c0f71f78a9ca08c6d46be26aab17ca9ee5cf1e69599dd2	True	221630	vorbis	44100	2
cello-bach-allemande-john-michel	ogg	5052493	90b6616c3d53c1ee653e4648cc7d5ee85013624b55f6d350d90d10890dc710e5	True	259940	vorbis	44100	2
cello-bach-casals-prelude	ogg	6286846	07a927151e6870bd5892f59aad0459a95096acac92fa282ffceb65dd39eb4908	True	149730	vorbis	44100	2
cello-bach-cc0-prelude	ogg	8025732	1e50d9e513c37725e8d8f378787a87330b040505ec679f9e919b01f2f4eae25f	True	154710	vorbis	48000	2
cello-bach-gigue	ogg	4658650	4cf47292438cb69d62a0148aea0f0c1591ebafb347e7aa5a7a868a6f9c9ca402	True	113410	vorbis	44100	2
cello-bach-sarabande	ogg	6083909	a98a66383722a60129efa591b828617a9541307ccf5df82eb0c4605f8916cb87	True	143910	vorbis	44100	2
cello-debussy-beau-soir	ogg	3148438	9d2b9e2960ddbf20dafef6f3974aad4648e3c3faeb7732153c6acf60a7ab2ca0	True	159060	vorbis	44100	2
cello-faure-elegie	ogg	10821110	f4256bdccdc7d7ac0e547f571c6e8137b8de8cbdd604bada417a7cb89ab5ccc0	True	425670	vorbis	44100	2
cello-saint-saens-swan	ogg	1770120	a0237df829170b5c2dcb32b525eca1e325ef86695e3f085cf84aa32c6922ebb7	True	176210	vorbis	48000	2
cello-vivaldi-allegro-one	ogg	5342074	db2358974e9aff8c0932f547e7823afab9afaa663d917ac82fda88c2f29f1176	True	196490	vorbis	44100	2
cello-vivaldi-allegro-three	ogg	4743153	9ea7275cd3bc06fe5b2ea28e0cd7a000f152bc66f15ad24921a9dfbb085ec29c	True	159860	vorbis	44100	2
cello-vivaldi-largo	ogg	6983337	8f8fcabeeb71e819c362ecaf827d98f53e82945c1b97d480fef2cfe0aef781f5	True	237520	vorbis	44100	2
chill-beat	ogg	2021913	0ebeaac7ed3e8fab0beb2a707d7e2eb048d673583d32d9dccba9a2be9f8e075b	True	96180	vorbis	44100	2
chill-lofi	ogg	6486377	7ea7fd1b7c95ed1ca5f6ebb796626570137bcb75c7f2ea87b6c61212c7a86694	True	125150	vorbis	44100	2
chilled-lofi	mp3	5154228	49c6e8dfbbf0b786d7ea8235ad998c39e52ac05439b7b651b02252ab695f3183	True	128860	mp3	44100	2
chopin-allegro-concert	mp3	16282112	43d9939056b6a95666417a0c52798283f94c62ec1b24a0a5201602317ae3a4b1	True	760060	mp3	48000	2
chopin-ballade-three	mp3	10301440	f984f0438fba8d3afb99e975ef9aaac9b7d3fd8676e9306d1ad120d77a00ac8a	True	507070	mp3	48000	2
chopin-ballade-two	mp3	10072576	e5c7687a848274f8860ee4bd795408f5221ee7f4d53ac334a130cb8777c808aa	True	494740	mp3	48000	2
chopin-barcarolle	ogg	7996086	ec6af69a3717000cc983212ddc90826bacc784d6e92a674cc0ae0ca5f1b32076	True	482530	vorbis	44100	2
chopin-barcarolle-cc0	ogg	1601092	e4344ca7500e598d8624e4a871c0b4fa903ea7b2674a3b603b09ea47f06bc86b	True	32940	vorbis	48000	2
chopin-berceuse-pd	ogg	5052936	4fe734920ea60a84d38a73c77233f885f557488a47eccf53da1da7548a3caf12	True	290240	vorbis	44100	2
chopin-canon-f-minor	mp3	838144	3098e1008b099ddc2b01886a6f8b409b2005a6e39277a9a0ecc804838f3cf70d	True	43010	mp3	48000	2
chopin-concerto-quartet-one	ogg	23993506	167a95b5ed17dc561b6aa1af46f3fa548deaac7e61eb525c7f2bec97d0362d96	True	1175070	vorbis	44100	2
chopin-concerto-quartet-three	ogg	12853981	c18723d15ac4fb3e1a0ec80944680363ff11a4ed453f3aa9216db900735be0be	True	620090	vorbis	44100	2
chopin-concerto-quartet-two	ogg	11217071	be3996b30b5584a4e30c6a4374aba8954d85b88c426fe7753af84eb2b531d3f3	True	580060	vorbis	44100	2
chopin-etude-10-1	ogg	2370783	dd7756123ce634c72c89ddce95be9ca854fae133842dc1e3d952da1ccf5cb390	True	123790	vorbis	44100	2
chopin-fantaisie-op49	wav	2850860	5f68fa32ac38e9e1cd52967e27ddcba5fb5138a62ba725deb43b3cc68c270a16	True	16160	pcm_s16le	44100	2
chopin-mazurka-17-4	ogg	6396377	8f404d3a641cd10d5c27f7c9750e7eef68ff01032a0dc103cd3a9fdcd22a2362	True	334960	vorbis	44100	2
chopin-nocturne-55	ogg	6779436	7888da06046c3baa2eb7c7429cedd0a98810e61843b294fa046590db0b8065e7	True	356790	vorbis	44100	2
chopin-nocturne-62	ogg	9281143	12ed75275b74cd37c393265364bc405eb70ab93ee31028f048ded4d4a2f6447b	True	494070	vorbis	44100	2
choral-handel-glory	ogg	2330546	a73a9d11b63048d0515c28d5b0e48062d0ccbdce0a24db964381b22f18773fc7	True	157020	vorbis	44100	2
choral-handel-word	ogg	1139449	a7e3d3f5c2db3ec164014c8ef520e2b68f70f5cd50b560059bc2962f4668789b	True	77660	vorbis	44100	2
choral-pavane	ogg	5718196	9f0b14295d4c972a1046867d64e9d149bcf56e18f5ab5b5ced0b026299e1c9e5	True	137000	vorbis	48000	2
choral-racine	ogg	13337457	01de141c88556b1d1adb2cc3653f2e4926d31e7ddad6e43b302e809423fed6db	True	320110	vorbis	48000	2
choral-resonet-laudibus	ogg	1566945	2401c351a70d8a85d3c2d69242cd9b8a0cc5c01d8705849fd2b0e6e9c497726e	True	204980	vorbis	22050	2
choral-salve-regina	ogg	4812802	582721705a78aa6b2b0dc9860d8a4b0006f51402d75ce88777d329cbbaed9d5c	True	190090	vorbis	44100	2
choral-tollite	ogg	4930516	f42479eaf563e37556f6b524e4a183e0ade97d915710e891bec3b7aca2c7b85f	True	118490	vorbis	48000	2
choral-vivaldi-esurientes	ogg	4899531	dda73bfc91862ce3d6e42d88257c98ed9ac71eee5733bd509fcf707bfd49722e	True	100190	vorbis	44100	2
choral-vivaldi-gloria	ogg	6723488	0350db7334f5404642c8c18e82e6283f09685834bdc20880472ebedde576c603	True	133690	vorbis	44100	2
choral-vivaldi-misericordia	ogg	7504943	aeab313ef4c437770ead7bc05086818c8094ee00eda86d89ba379c9280d79520	True	150560	vorbis	44100	2
corelli-christmas-one	ogg	6696978	322bf01a4d997263f88ec0e9e907befb712a48c098f6a4c06f7326a50f0898c4	True	202910	vorbis	44100	2
corelli-christmas-two	ogg	11569087	d5e5c617cfcb9949c86ecce9be9f63f8f9e5bd05074bbb7f6e091a2fe602358f	True	411670	vorbis	44100	2
corelli-op6-no4-one	ogg	6182637	d9d555c196cdb2fff72be6ae43fd8462e8c629bdebcd96fbe800a0b15881aef0	True	205110	vorbis	44100	2
couperin-barricades	ogg	2906926	95544bb28c687f0f34f7d2bcd87b9547fbf14327b98526c4359d2d41148451b8	True	145870	vorbis	44100	2
debussy-arabesque-one-prati	ogg	15597859	638ab598da6ea26409294abf00d894e9416b8ab113aa8329b4d74c6c44037a47	True	292990	vorbis	48000	2
debussy-arabesque-two	ogg	12851992	4e3c6bc8347ead3f677e329efbd4313c1f8d754f047c85e78970d98ad7df44f6	True	240070	vorbis	48000	2
debussy-clair-brass	mp3	3945327	f177f9809840b06315c641aca4225fbc48d1fe0e9912232365fd687c2a24dda7	True	242090	mp3	44100	2
debussy-clair-de-lune-goedhart	ogg	15740765	2f7a1e833f4e2408d9d1b893131863d790ba75cd5fbcf81292dc5ed6f25918fe	True	304090	vorbis	44100	2
debussy-doctor-gradus	wav	22282284	66c7c6eb4b73ce467a5f7c266ac39abc232b927aec518395bb7ad79376f2f7c1	True	126320	pcm_s16le	44100	2
debussy-sketchbook	ogg	14762180	0f4510ce4300fa67373044605d748960a7835c4009c2b4b9520ad8418503d07d	True	276300	vorbis	48000	2
debussy-syrinx	ogg	3679570	1f6dc51cd7a094d1c25f9df68a8f293fbde711804b55590047a131f6a0efba31	True	146190	vorbis	44100	2
dream-culture	mp3	8576659	f12cbb52bd4b92bd6cf8a343645567c119627e9cbf98108a3eb6ac2cc275ee46	True	214360	mp3	44100	2
dvorak-larghetto	ogg	11638603	c31c59ceb85632e78a69307b08bac8f5e2f7d48d1dd76ee6f93b311f28370ce4	True	343390	vorbis	44100	2
dvorak-new-world-largo	ogg	14538509	ba3a97a55babe67965fc19d5227ed9e1a5ede5c73ec31d0feeaf274c448eedd6	True	694460	vorbis	48000	2
electronic-piano	ogg	4404656	acebbba390ed530b87151d1bf53a16924f783d77232e0f4d1401730b62310572	True	77420	vorbis	44100	2
emotional-piano	ogg	3083809	78fd14ad3cb28e9f9f608f15efa1eeaceefde2f045db189b8d18d971d3f22c58	True	76800	vorbis	44100	2
end-of-hope	mp3	7315436	c5c9a612ff8650b62b4be6c9276263b7c21ec4bcf6f28d1ba73d0b29034ae12a	True	182890	mp3	44100	2
erhu-erquan	ogg	2986495	7e80091253b3fba7a9a5fca3bddbab6727c419e8ec016d2d8d18602301f704ac	True	268140	vorbis	96000	1
erhu-river	ogg	3764321	ad5d178c66dceac6ae259bcd4e31af40472f016600984bb5f6eb1d3bb4c2dcd8	True	301960	vorbis	96000	1
exploration	mp3	5070109	87da190e7da3aa628235b11afccb6a1b25d73e65057b8616b6ff2332799de907	True	211250	mp3	44100	2
fairies-talking	ogg	674825	309ad4dce53f52293bb054396e747ac775deda194564931b0444ec87106ed3fc	True	110039	vorbis	44100	2
faure-berceuse-op56	ogg	2085710	0f03a7bcd856c01a4534ac8b82b9b512df6bea5b6679c089e9f20786fc240235	True	214620	vorbis	44100	2
faure-elegie	ogg	10821110	f4256bdccdc7d7ac0e547f571c6e8137b8de8cbdd604bada417a7cb89ab5ccc0	True	425670	vorbis	44100	2
game-bgm	ogg	3997545	1b18c8e9af32cf05efbda0d40d22c822dad328b370d8bfcd70059e560d98cd40	True	237200	vorbis	44100	2
gaohu-linked-buckles	ogg	3084323	7d039d8a9b720237e900ba1c6c244ba307eb0af5ae78b9e9b78d795410010a0d	True	225420	vorbis	96000	1
gaohu-rain-banana	ogg	3413542	63d4a70bf7f56b06d4c3c800b8c1fe5c974d6a320209b2d4a8d793b919f51b46	True	254560	vorbis	96000	1
glazunov-menestrel	ogg	4198169	2e26d733bfffbd489b1c2447a3780ca908ffe0c6d790f9fb47a7c465fc7f6fab	True	232030	vorbis	48000	2
grieg-piano-concerto-adagio	ogg	6913372	7f96d1d15f77b9078bf3ef1f0aac37c6b53972bb3b1e59a9f9aab3d7c28c090f	True	381170	vorbis	48000	2
guitar-anonymous-romance	ogg	3937515	d85885d97a04f6b85eae032b93f20b941470d7356ee869c7a90175b5ea43f3b8	True	167160	vorbis	44100	2
guitar-el-noi	ogg	3756409	71d69f132846a8470db88554b7a6e6665b8f53675911d0c5264e56cfc6a73b07	True	132660	vorbis	44100	1
guitar-pachelbel-canon	ogg	2264836	a0898ca3ab01f54e4ea7f798adee48ca88fad34dcd2d4d577e65868a050e3ae4	True	201060	vorbis	44100	2
guitar-solo	ogg	558882	d6ff6cafd3025db2e2215b32e3e7e6411fa08a8d2e0fca7c3353b5a4a82523a5	True	42000	vorbis	44100	2
guitar-sor-op31-1	ogg	4299100	c29382bd4dcd109c0cf2e1a6d287100ee3f63f5b79ed4cae4016b8b30a952662	True	81180	vorbis	96000	1
guitar-tarrega-gran-vals	ogg	5166199	4aaf0b14d7aa79f5e11500217ab3272997c8aff89dfb5695565b1356dfb846ec	True	182320	vorbis	44100	2
guqin-yangguan-sandie	ogg	5390794	a8ba709b4f2642a9acb6db355896657bf03cbd441832828d84a8477198188d4d	True	350090	vorbis	44100	2
guqin-zuiyu-changwan	ogg	4412744	047c95538c2b37c6bcc4f771b9a804981dff408b56b19b6800fd78154f4bb7d0	True	286960	vorbis	44100	2
handel-fitzwilliam-three	ogg	13479256	85793164d689f7d5576f654f30cb4e4952a2ed56b4c5e953e99bd834e1168dfa	True	666290	vorbis	44100	2
harp-meadow-thoughts	ogg	2396007	9c55cfadb5acca6ef9ca81bf89d343b13f2b09984d45ae520cf877f1f9ad4404	True	149740	vorbis	44100	2
haydn-lark-one	ogg	3674746	b355d0857ba7ef6f235fbac9b758c4978a7e99ea8f0feacdedf2cddd876bf7dc	True	371670	vorbis	48000	2
haydn-lark-three	ogg	2203460	f1d11420a169ce2802510a110fa0b6d03c047beec4292fa4c8a204ea8b4dfd78	True	226620	vorbis	48000	2
incompetech-starry	mp3	8055149	2556b917bc6dd030ab2f300ff581cd2d3182e9254cd41ece67d34d5560ca95ab	True	198500	mp3	44100	2
indieteur-revelation	mp3	3395007	b6111a64fa948e76b01d08fc5de53177885a8d8db0dea65330946760892feb43	True	84850	mp3	44100	2
into-stars	ogg	98076	8ae933cfc8f81cc5b2f5b545eff07f41e56e6768f32c23ef79951892c25b61df	True	17040	vorbis	44100	2
jazz-avant	mp3	1752502	3aa42a82d81af252db50d9b128a27b758d4454bebcab0c9ea05ea2563b654083	True	41450	mp3	48000	2
jazz-brunch	mp3	10341722	9e980a5a5ff7663d7f5ac22209190f34f1df465c5a6b588dd2c0bcbfc217e380	True	323110	mp3	44100	2
