track_id	ext	size_bytes	sha256	decodable	duration_ms	codec	sample_rate	channels
albinoni-oboe-one	ogg	4294458	9ce25f383f84b5d30ee1bbe1f9a4b76a83c47c435afa940d468e75f69418860f	True	229620	vorbis	44100	2
albinoni-oboe-three	ogg	3751918	73c4dfdb6f45dcc7e7e7e4785610444d516f7ff3b95ce6a245e18d75c477becb	True	205320	vorbis	44100	2
albinoni-oboe-two	ogg	4544115	973d4afdbff655ba428f161f4f6326adc0737693720322058c0987ee7a9e4c0c	True	257750	vorbis	44100	2
ambient-brenticus	ogg	4504688	e8a2751f2a5032529e84e018e4abd190e4167556038acbd224ced4ad219def8a	True	264670	vorbis	44100	2
ambient-dance-zeropage	ogg	5531951	32e5876fe9b0a2087d52ed4b0e6a97cf6055508edf11d0a8edab530b7efb5a46	True	228750	vorbis	44100	2
ambient-guitar-dust	mp3	8424318	4a24adedba90364887322db6df0b9c365567adf7ea96bf83aa95188b7f29f6cd	True	210550	mp3	44100	2
ambient-india-zeropage	ogg	9511526	fec9a52a9b958e5fd7c0c786432759039ebc4e8602f0f9db64513d2eee31ea1b	True	386180	vorbis	44100	2
ambient-pad-i	mp3	1798394	12ad0144f6ed8101d83d70533586ab785094a7aeeac89edb5593cd165e0b2006	True	74840	mp3	44100	2
ambient-pad-ii	mp3	3254773	5e983cf072d2f7aa81a988e195b46eac737cc0e733a211439c31f3fd96cf1cee	True	135520	mp3	44100	2
ambient-pad-iv	mp3	3543165	7d4ed1682cb26c0376b92fbfba14338761a9fd4b80454fb535c65452fd909ee9	True	147540	mp3	44100	2
ambient-pad-ix	mp3	3472529	4d2ffd8d84df063cdb46793b8869b0acc9e303ba8bd41d8316db03011799dafe	True	144600	mp3	48000	2
ambient-pad-v	mp3	7539125	7c9a1b674a8525b6cca90a5d834b6e31e21a358e523b099802acef45c87e8a93	True	314040	mp3	48000	2
ambient-pad-vi	mp3	7539125	a8ec0b1a2181b1dcb27603eba8fd90c20c6d397831abea499e4ba85a33504a5c	True	314040	mp3	48000	2
ambient-pad-vii	mp3	4298099	958e803d25716863fd53419f08d0026edeab0eb5f17b6ae967ffae4e475c69e4	True	179020	mp3	48000	2
ambient-pad-viii	mp3	3477713	28deaf0bb179a5511f3a7281722902c6ef1fc3f294d09cb64e73d39ed0db8667	True	144820	mp3	48000	2
ambient-pad-x	mp3	2577052	1982779763d2e1c75b9e4c5a2662dcb4181b251366c5b5208d678928eecc6b02	True	107280	mp3	44100	2
ambient-relax-background-one	ogg	1754942	b362bd0017400836b6dc4b4c581e7516c8e1e4bff1b97e1107e14ae00d02f751	True	62680	vorbis	44100	2
ambient-sunset-walk	ogg	1828550	1d230721e6200276065b913e44943d0e0503af88fc2dd793be1249738e06d98c	True	76800	vorbis	44100	2
ambient-voyager	ogg	6012641	f7d0bb45dfeb5eecea9826daa752dca632b40f0f9f925bfcebb458651434f2fa	True	235200	vorbis	44100	2
ambient-zero-point	ogg	5152610	75e3c3ec193956e5db4295f61a3bcec5852b4810f5b135fb9e04d98ca346704f	True	319040	vorbis	44100	2
andersen-etude	oga	2234607	d85632be31c31bff72f1190659196f0267df6c8b3f0b2cac62077b3db06ce83b	True	122100	vorbis	44100	2
atlantean-twilight	mp3	5579577	a3ad327aa9661d95ab701860e5583dac2a59b710af6d204316ff6043ee7205d3	True	171160	mp3	44100	2
bach-air	ogg	2758350	94b703db3b1485f1a8ddbca16f0536305ecde64f27e51e831479f673ca43b613	True	259899	vorbis	44100	2
bach-bwv147-chorale	ogg	3726571	a7c2671225a32088f41b0da7407a8743c6325f8fbaaa6e4f0b5e97d37b16707d	True	202270	vorbis	44100	2
bach-chaconne	ogg	17635982	339769c23d6849a8e4c39aa9155d67455176c2a4c115fa65162d2b9c2f01e2ca	True	750250	vorbis	44100	2
bach-goldberg-aria	ogg	7744763	b5f9cd0939b66b133b29e03a6d149dd23770bd53b8ccb0e306495024538422e2	True	287060	vorbis	44100	2
bach-goldberg-aria-cc0	ogg	3694619	6bef03ec30f9adabf5beb9fe07d50d7ee32538d8ea2b04da0c038dfe0de23356	True	228010	vorbis	44100	2
