# Soundist 电台音频完整下载地址
# 来源：prototypes/mobile-interactive/src/app/radioCatalog.ts
# 开放精选频道：24
# 曲目位置：312
# 去重音频：294
# 格式：ID | 标题 | 直接下载地址 | 来源页面

bach-goldberg-aria-cc0 | 哥德堡变奏曲：咏叹调 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-aria.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-aria.lehman1.ogg
bach-goldberg-cc0-01 | 哥德堡变奏曲：第1变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v01.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v01.lehman1.ogg
bach-goldberg-cc0-02 | 哥德堡变奏曲：第2变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v02.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v02.lehman1.ogg
bach-goldberg-cc0-03 | 哥德堡变奏曲：第3变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v03.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v03.lehman1.ogg
bach-goldberg-cc0-04 | 哥德堡变奏曲：第4变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v04.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v04.lehman1.ogg
bach-goldberg-cc0-05 | 哥德堡变奏曲：第5变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v05.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v05.lehman1.ogg
bach-goldberg-cc0-06 | 哥德堡变奏曲：第6变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v06.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v06.lehman1.ogg
bach-goldberg-cc0-07 | 哥德堡变奏曲：第7变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v07.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v07.lehman1.ogg
bach-goldberg-cc0-08 | 哥德堡变奏曲：第8变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v08.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v08.lehman1.ogg
bach-goldberg-cc0-09 | 哥德堡变奏曲：第9变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v09.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v09.lehman1.ogg
bach-goldberg-cc0-10 | 哥德堡变奏曲：第10变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v10.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v10.lehman1.ogg
bach-goldberg-cc0-11 | 哥德堡变奏曲：第11变奏 | https://commons.wikimedia.org/wiki/Special:Redirect/file/988-v11.lehman1.ogg | https://commons.wikimedia.org/wiki/File:988-v11.lehman1.ogg
