"asset_path"	"bytes"	"sha256"	"staging_source_path"	"staging_source_sha256"	"upstream_path"	"upstream_sha256"	"exact_match"	"upstream_repository"	"upstream_commit"	"upstream_declared_license_families"	"per_file_license_status"
"app/src/main/assets/sounds/things/tuning-radio.mp3"	"769551"	"2ed7619d3a98c5298728a7e3fc60971cadf0a573b7f1ce46d11a8d69e53becd6"	"public/sounds/things/tuning-radio.mp3"	"2ed7619d3a98c5298728a7e3fc60971cadf0a573b7f1ce46d11a8d69e53becd6"	"public/sounds/things/tuning-radio.mp3"	"2ed7619d3a98c5298728a7e3fc60971cadf0a573b7f1ce46d11a8d69e53becd6"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/things/typewriter.mp3"	"341160"	"0d56f3a9482e7edad9a6e58130d733883c89f36f51e1c8dd9fde7a3b5cf276b8"	"public/sounds/things/typewriter.mp3"	"0d56f3a9482e7edad9a6e58130d733883c89f36f51e1c8dd9fde7a3b5cf276b8"	"public/sounds/things/typewriter.mp3"	"0d56f3a9482e7edad9a6e58130d733883c89f36f51e1c8dd9fde7a3b5cf276b8"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/things/vinyl-effect.mp3"	"1556698"	"037f7a6ac2a78c1378381048b40049b4960801a4f1e2a209991a64f8744fa46d"	"public/sounds/things/vinyl-effect.mp3"	"037f7a6ac2a78c1378381048b40049b4960801a4f1e2a209991a64f8744fa46d"	"public/sounds/things/vinyl-effect.mp3"	"037f7a6ac2a78c1378381048b40049b4960801a4f1e2a209991a64f8744fa46d"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/things/washing-machine.mp3"	"191760"	"f468aaf120141cb618085d33aba190e81f8e85ba6efe5f292ff0a920edabf955"	"public/sounds/things/washing-machine.mp3"	"f468aaf120141cb618085d33aba190e81f8e85ba6efe5f292ff0a920edabf955"	"public/sounds/things/washing-machine.mp3"	"f468aaf120141cb618085d33aba190e81f8e85ba6efe5f292ff0a920edabf955"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/things/wind-chimes.mp3"	"2255187"	"212558c58fdb5b8f490b9c1d9b6f3c7469d025b4feff4df4014bff60d0422cf9"	"public/sounds/things/wind-chimes.mp3"	"212558c58fdb5b8f490b9c1d9b6f3c7469d025b4feff4df4014bff60d0422cf9"	"public/sounds/things/wind-chimes.mp3"	"212558c58fdb5b8f490b9c1d9b6f3c7469d025b4feff4df4014bff60d0422cf9"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/things/windshield-wipers.mp3"	"207528"	"858490d7480c62728d976b2aee26193c282f5f0aace7a1bf3001994b7f02d93f"	"public/sounds/things/windshield-wipers.mp3"	"858490d7480c62728d976b2aee26193c282f5f0aace7a1bf3001994b7f02d93f"	"public/sounds/things/windshield-wipers.mp3"	"858490d7480c62728d976b2aee26193c282f5f0aace7a1bf3001994b7f02d93f"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/transport/airplane.mp3"	"840264"	"170fcd68d60ebe89ac26425a0c38c437b70071cc4919419bbb0cbc92a3cb5af8"	"public/sounds/transport/airplane.mp3"	"170fcd68d60ebe89ac26425a0c38c437b70071cc4919419bbb0cbc92a3cb5af8"	"public/sounds/transport/airplane.mp3"	"170fcd68d60ebe89ac26425a0c38c437b70071cc4919419bbb0cbc92a3cb5af8"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/transport/inside-a-train.mp3"	"1441920"	"8689c8f151910752fd94fce9c78ce6d48a4d6653c25f966f056f34e6ef448459"	"public/sounds/transport/inside-a-train.mp3"	"8689c8f151910752fd94fce9c78ce6d48a4d6653c25f966f056f34e6ef448459"	"public/sounds/transport/inside-a-train.mp3"	"8689c8f151910752fd94fce9c78ce6d48a4d6653c25f966f056f34e6ef448459"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/transport/rowing-boat.mp3"	"597072"	"c4347ae2fa806079198c96c13937e17be7a084c976d566846e322aeefece84d1"	"public/sounds/transport/rowing-boat.mp3"	"c4347ae2fa806079198c96c13937e17be7a084c976d566846e322aeefece84d1"	"public/sounds/transport/rowing-boat.mp3"	"c4347ae2fa806079198c96c13937e17be7a084c976d566846e322aeefece84d1"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/transport/sailboat.mp3"	"2186472"	"8701ec1f21561d53c006cf2af4dd540a1b952ed56da4315d382c70a8c01d120f"	"public/sounds/transport/sailboat.mp3"	"8701ec1f21561d53c006cf2af4dd540a1b952ed56da4315d382c70a8c01d120f"	"public/sounds/transport/sailboat.mp3"	"8701ec1f21561d53c006cf2af4dd540a1b952ed56da4315d382c70a8c01d120f"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/transport/submarine.mp3"	"696408"	"739e7ae10aa770522b0007482813f8961567fda8cf2941fce46acfe00fdd18e8"	"public/sounds/transport/submarine.mp3"	"739e7ae10aa770522b0007482813f8961567fda8cf2941fce46acfe00fdd18e8"	"public/sounds/transport/submarine.mp3"	"739e7ae10aa770522b0007482813f8961567fda8cf2941fce46acfe00fdd18e8"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/transport/train.mp3"	"1277043"	"ee81ed9e0ce6bfc14ce21209615e6f7156384c8213f8c80b5fae3665005ef788"	"public/sounds/transport/train.mp3"	"ee81ed9e0ce6bfc14ce21209615e6f7156384c8213f8c80b5fae3665005ef788"	"public/sounds/transport/train.mp3"	"ee81ed9e0ce6bfc14ce21209615e6f7156384c8213f8c80b5fae3665005ef788"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/urban/ambulance-siren.mp3"	"337224"	"5ba2cefd6677e97be596117771a8394ebdb51905530b72578b5913675033e2a4"	"public/sounds/urban/ambulance-siren.mp3"	"5ba2cefd6677e97be596117771a8394ebdb51905530b72578b5913675033e2a4"	"public/sounds/urban/ambulance-siren.mp3"	"5ba2cefd6677e97be596117771a8394ebdb51905530b72578b5913675033e2a4"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/urban/busy-street.mp3"	"2328744"	"3f819591a58f280683ab934e9c6a1b90c58531ec5920826e9d887668a0f757e2"	"public/sounds/urban/busy-street.mp3"	"3f819591a58f280683ab934e9c6a1b90c58531ec5920826e9d887668a0f757e2"	"public/sounds/urban/busy-street.mp3"	"3f819591a58f280683ab934e9c6a1b90c58531ec5920826e9d887668a0f757e2"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/urban/crowd.mp3"	"610200"	"720313446ff6dd117f271bcb5082d3d78a038dd284fe9d3e3a4ceb158bcaeafa"	"public/sounds/urban/crowd.mp3"	"720313446ff6dd117f271bcb5082d3d78a038dd284fe9d3e3a4ceb158bcaeafa"	"public/sounds/urban/crowd.mp3"	"720313446ff6dd117f271bcb5082d3d78a038dd284fe9d3e3a4ceb158bcaeafa"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/urban/fireworks.mp3"	"581400"	"5436e6e89037d5ccf10a27fdb9164566bf68d4628c3537bcac32e8853989e514"	"public/sounds/urban/fireworks.mp3"	"5436e6e89037d5ccf10a27fdb9164566bf68d4628c3537bcac32e8853989e514"	"public/sounds/urban/fireworks.mp3"	"5436e6e89037d5ccf10a27fdb9164566bf68d4628c3537bcac32e8853989e514"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/urban/highway.mp3"	"1671552"	"3de274910ddffa6b1ebfce67875aff87b4b7a4c662e49fbb822e5e39458006b5"	"public/sounds/urban/highway.mp3"	"3de274910ddffa6b1ebfce67875aff87b4b7a4c662e49fbb822e5e39458006b5"	"public/sounds/urban/highway.mp3"	"3de274910ddffa6b1ebfce67875aff87b4b7a4c662e49fbb822e5e39458006b5"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/urban/road.mp3"	"1548480"	"df23f3692a02823fe000966d9d0a38c76094958ab26f11e76448c09d41875cd8"	"public/sounds/urban/road.mp3"	"df23f3692a02823fe000966d9d0a38c76094958ab26f11e76448c09d41875cd8"	"public/sounds/urban/road.mp3"	"df23f3692a02823fe000966d9d0a38c76094958ab26f11e76448c09d41875cd8"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
"app/src/main/assets/sounds/urban/traffic.mp3"	"452324"	"3fa2fe742335124d0226f4ba4a9cb86bbc08e1d82d9b3ef6971cff74035cd61f"	"public/sounds/urban/traffic.mp3"	"3fa2fe742335124d0226f4ba4a9cb86bbc08e1d82d9b3ef6971cff74035cd61f"	"public/sounds/urban/traffic.mp3"	"3fa2fe742335124d0226f4ba4a9cb86bbc08e1d82d9b3ef6971cff74035cd61f"	"true"	"https://github.com/remvze/moodist.git"	"983f7412e8cd054e76d156977c563da2028e4428"	"Pixabay Content License OR CC0 1.0"	"not-published-by-upstream"
